source_position,transaction_num,prop_sb_type,is_offplan,area,project,master_project,nearest_landmark,nearest_metro,nearest_mall,rooms,has_parking,procedure_area,trans_value,date_year,month_sin,month_cos,community_30d_avg_price,off_plan_vol_ratio,prop_type_Land,prop_type_Unit,prop_type_Villa,usage_Commercial,usage_Hospitality ,usage_Industrial,usage_Multi-Use,usage_Other,usage_Residential,usage_Storage,procedure_Other,procedure_Sell,procedure_Sell - Pre registration,procedure_Sell Development,xai_predicted_value,xai_base_spread
0,73cafa8f243ca29d37adf7e1ddf24fb5158c247576b96d528f0a793bfd9c36c7,19668.34633540245,0,21058.975345813025,21392.28359669326,21017.28839381641,23504.61376351314,24304.83627871531,24505.45025444477,0,1,34.11,815000.0,2025,-2.4492935982947064e-16,1.0,24225.12129692833,0.1569965870307167,False,True,False,False,False,False,False,False,True,False,False,True,False,False,774580.9324891362,48446.07921408853
1,14325363ce7fdb1fda586140ea8491b8573b0074615dd507dfc85221cbfb07a4,19668.34633540245,1,21058.975345813025,21724.38433697539,20697.729250862423,20146.25007233051,18498.113392581035,18514.27134372089,2,1,132.04,2750000.0,2025,-2.4492935982947064e-16,1.0,24236.75863013699,0.1541095890410959,False,True,False,False,False,False,False,False,True,False,False,False,True,False,3191999.5932969493,49938.92755441476
2,8b88b56c690db672c0beb5600ccda5c840c5c1858b012d51c3487a014c912f50,19668.34633540245,0,21058.975345813025,22530.63937064688,20697.729250862423,20146.25007233051,18498.113392581035,18514.27134372089,1,1,57.28,1220000.0,2025,-2.4492935982947064e-16,1.0,24246.85443298969,0.1546391752577319,False,True,False,False,False,False,False,False,True,False,False,False,False,False,1401999.0055692666,62329.91450904398
3,e5822adc55aaa2b18ed27c976f5e517217d2aa3db38a28cea69e5e5429a28e73,19668.34633540245,0,21058.975345813025,21050.99156233057,20697.729250862423,23504.61376351314,24304.83627871531,24505.45025444477,1,1,57.26,1450000.0,2025,-2.4492935982947064e-16,1.0,24243.143275862072,0.1551724137931034,False,True,False,False,False,False,False,False,True,False,False,True,False,False,1308250.2780027124,19622.79252965308
4,88408640fd085339f8441ff5103e6a9a86dae50a46917efd6d7dd5d370c803f4,19668.34633540245,0,21058.975345813025,17687.45710447846,21017.28839381641,23504.61376351314,24304.83627871531,24505.45025444477,1,1,48.87,1080000.0,2025,-2.4492935982947064e-16,1.0,24250.56089965398,0.1557093425605536,False,True,False,False,False,False,False,False,True,False,False,True,False,False,982737.5074422569,40654.307115233794
5,51f929f6d73cc97d81f23e26d0e0595069d579b7b36780aad7fc31de05bbcf29,19668.34633540245,0,21058.975345813025,20356.563086848077,21017.28839381641,23504.61376351314,24304.83627871531,24505.45025444477,1,1,50.53,1050000.0,2025,-2.4492935982947064e-16,1.0,24262.612395833334,0.15625,False,True,False,False,False,False,False,False,True,False,False,True,False,False,1099433.4061749433,15697.045856420002
6,18a5709883079ba6a4fccafd020d5bd0122930928b23ce0b6552236b609cc560,19668.34633540245,0,12623.360120002942,9781.814809371685,12623.360120002942,13249.204072024651,18498.113392581035,18514.27134372089,1,1,64.43,580000.0,2025,-2.4492935982947064e-16,1.0,15460.57615873016,0.5587301587301587,False,True,False,False,False,False,False,False,True,False,False,False,False,True,622179.6666449015,17910.354964828664
7,2a38f0e95aefe1f9f759f7f4a2f174f0ef846c57c5b5b07ee816e9575de72ebe,19668.34633540245,0,21058.975345813025,17581.237894388087,21017.28839381641,23504.61376351314,24304.83627871531,24505.45025444477,0,1,35.56,750000.0,2025,-2.4492935982947064e-16,1.0,24273.66292682927,0.156794425087108,False,True,False,False,False,False,False,False,True,False,False,True,False,False,726146.0709008793,32707.041508816852
8,de40802901d91fd7006181b02a1e5f83d2dc4df4c9a5bc4dadd2f62ccb9b0d8d,14551.607539121123,0,19038.16470412832,12821.92566683473,20498.247888605263,20992.37185736405,19405.076550695914,24505.45025444477,0,0,242.06,4065600.0,2025,-2.4492935982947064e-16,1.0,13318.235,0.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,6259599.378080664,412004.073022515
9,a2227cf92cdde6a5892a0332a714236a24adef1d92859fab92956e75280520b7,19668.34633540245,0,23972.71800525405,23012.667595580413,24242.62370179497,15839.65371674315,19672.978383264614,16637.078362591466,2,1,91.71,2685000.0,2025,-2.4492935982947064e-16,1.0,26740.67623493976,0.6234939759036144,False,True,False,False,False,False,False,False,True,False,False,True,False,False,2397342.7957473164,150383.9912656732
