rank,feature,mean_abs_shap,mean_shap
1,procedure_area,1113836.1367686687,-31683.026139578542
2,project,299779.81903159816,24043.037401375004
3,community_30d_avg_price,295695.94947387534,160364.67684469008
4,rooms,86793.33495198027,-3952.970019139087
5,master_project,81496.43142076375,24971.36919597186
6,prop_type_Unit,52242.16428511871,2596.496852125018
7,prop_sb_type,52080.29023775509,18211.988946402325
8,off_plan_vol_ratio,48863.71859155316,-20235.777394058892
9,procedure_Sell,42363.037262014346,4032.4970357039506
10,area,34561.30452825027,19538.430535163872
11,nearest_landmark,22165.525353343626,9884.69715001923
12,usage_Commercial,21510.20037609323,10081.381743546224
13,nearest_metro,18528.299685548925,7913.700149715122
14,is_offplan,18468.921485449417,-511.66004582623754
15,procedure_Sell___Pre_registration,15524.600159376841,1720.8982435314147
16,date_year,15329.88467655875,14892.274363927261
17,nearest_mall,14406.160619371694,5776.306696799341
18,month_cos,11530.663285152328,6761.119877434133
19,prop_type_Land,10909.500240824747,8257.671203132677
20,usage_Residential,10185.89462005363,1077.3424966579616
21,prop_type_Villa,10005.768498919675,716.0555399249117
22,has_parking,9971.837084748126,350.0587688267901
23,month_sin,5656.596023320043,5152.775767484867
24,usage_Other,3386.6617299300315,2961.606410647271
25,usage_Hospitality_,1478.1376773149645,-151.11388962420094
26,usage_Multi_Use,748.6665037591341,674.1823371302221
27,procedure_Sell_Development,640.8966140221701,-585.4560882422282
28,procedure_Other,549.1378197991999,-382.42879042313564
29,usage_Industrial,1.0120392206290454,-0.974013199343405
30,usage_Storage,0.0,0.0
