source_position,local_index,transaction_num,predicted_value,actual_value,rank,feature,feature_value,shap_value,abs_shap_value,running_value_before,running_value_after
0,0,73cafa8f243ca29d37adf7e1ddf24fb5158c247576b96d528f0a793bfd9c36c7,774580.9324891362,815000.0,1,procedure_area,34.11,-1667517.7051228466,1667517.7051228466,1984339.7348785633,316822.0297557167
0,0,73cafa8f243ca29d37adf7e1ddf24fb5158c247576b96d528f0a793bfd9c36c7,774580.9324891362,815000.0,2,community_30d_avg_price,24225.12129692833,303722.3428027788,303722.3428027788,316822.0297557167,620544.3725584955
0,0,73cafa8f243ca29d37adf7e1ddf24fb5158c247576b96d528f0a793bfd9c36c7,774580.9324891362,815000.0,3,project,21392.28359669326,152669.72900420995,152669.72900420995,620544.3725584955,773214.1015627055
0,0,73cafa8f243ca29d37adf7e1ddf24fb5158c247576b96d528f0a793bfd9c36c7,774580.9324891362,815000.0,4,prop_type_Unit,1.0,-51130.74410918814,51130.74410918814,773214.1015627055,722083.3574535174
0,0,73cafa8f243ca29d37adf7e1ddf24fb5158c247576b96d528f0a793bfd9c36c7,774580.9324891362,815000.0,5,area,21058.975345813025,46090.05963078696,46090.05963078696,722083.3574535174,768173.4170843044
0,0,73cafa8f243ca29d37adf7e1ddf24fb5158c247576b96d528f0a793bfd9c36c7,774580.9324891362,815000.0,6,off_plan_vol_ratio,0.1569965870307167,42271.275376772275,42271.275376772275,768173.4170843044,810444.6924610767
0,0,73cafa8f243ca29d37adf7e1ddf24fb5158c247576b96d528f0a793bfd9c36c7,774580.9324891362,815000.0,7,procedure_Sell,1.0,-38473.583351774185,38473.583351774185,810444.6924610767,771971.1091093025
0,0,73cafa8f243ca29d37adf7e1ddf24fb5158c247576b96d528f0a793bfd9c36c7,774580.9324891362,815000.0,8,nearest_landmark,23504.61376351314,38435.66183203366,38435.66183203366,771971.1091093025,810406.7709413362
0,0,73cafa8f243ca29d37adf7e1ddf24fb5158c247576b96d528f0a793bfd9c36c7,774580.9324891362,815000.0,9,rooms,0.0,-33337.35452645159,33337.35452645159,810406.7709413362,777069.4164148846
0,0,73cafa8f243ca29d37adf7e1ddf24fb5158c247576b96d528f0a793bfd9c36c7,774580.9324891362,815000.0,10,prop_sb_type,19668.34633540245,-30707.339358348614,30707.339358348614,777069.4164148846,746362.077056536
0,0,73cafa8f243ca29d37adf7e1ddf24fb5158c247576b96d528f0a793bfd9c36c7,774580.9324891362,815000.0,11,master_project,21017.28839381641,24745.32536458092,24745.32536458092,746362.077056536,771107.402421117
0,0,73cafa8f243ca29d37adf7e1ddf24fb5158c247576b96d528f0a793bfd9c36c7,774580.9324891362,815000.0,12,usage_Residential,1.0,-22286.909788335102,22286.909788335102,771107.402421117,748820.4926327819
0,0,73cafa8f243ca29d37adf7e1ddf24fb5158c247576b96d528f0a793bfd9c36c7,774580.9324891362,815000.0,13,prop_type_Land,0.0,20611.206056953135,20611.206056953135,748820.4926327819,769431.698689735
0,0,73cafa8f243ca29d37adf7e1ddf24fb5158c247576b96d528f0a793bfd9c36c7,774580.9324891362,815000.0,14,is_offplan,0.0,-11646.982205094155,11646.982205094155,769431.698689735,757784.7164846408
0,0,73cafa8f243ca29d37adf7e1ddf24fb5158c247576b96d528f0a793bfd9c36c7,774580.9324891362,815000.0,15,date_year,2025.0,10783.610446170158,10783.610446170158,757784.7164846408,768568.326930811
0,0,73cafa8f243ca29d37adf7e1ddf24fb5158c247576b96d528f0a793bfd9c36c7,774580.9324891362,815000.0,16,nearest_metro,24304.83627871531,10640.172813832656,10640.172813832656,768568.326930811,779208.4997446437
0,0,73cafa8f243ca29d37adf7e1ddf24fb5158c247576b96d528f0a793bfd9c36c7,774580.9324891362,815000.0,17,procedure_Sell___Pre_registration,0.0,-10035.594657450112,10035.594657450112,779208.4997446437,769172.9050871936
0,0,73cafa8f243ca29d37adf7e1ddf24fb5158c247576b96d528f0a793bfd9c36c7,774580.9324891362,815000.0,18,nearest_mall,24505.45025444477,7761.557291775975,7761.557291775975,769172.9050871936,776934.4623789695
0,0,73cafa8f243ca29d37adf7e1ddf24fb5158c247576b96d528f0a793bfd9c36c7,774580.9324891362,815000.0,19,usage_Commercial,0.0,-5648.117155938811,5648.117155938811,776934.4623789695,771286.3452230308
0,0,73cafa8f243ca29d37adf7e1ddf24fb5158c247576b96d528f0a793bfd9c36c7,774580.9324891362,815000.0,20,prop_type_Villa,0.0,2628.0031187613095,2628.0031187613095,771286.3452230308,773914.3483417921
0,0,73cafa8f243ca29d37adf7e1ddf24fb5158c247576b96d528f0a793bfd9c36c7,774580.9324891362,815000.0,21,month_sin,-2.4492935982947064e-16,1049.146540496161,1049.146540496161,773914.3483417921,774963.4948822883
0,0,73cafa8f243ca29d37adf7e1ddf24fb5158c247576b96d528f0a793bfd9c36c7,774580.9324891362,815000.0,22,month_cos,1.0,-217.47911990736384,217.47911990736384,774963.4948822883,774746.0157623809
0,0,73cafa8f243ca29d37adf7e1ddf24fb5158c247576b96d528f0a793bfd9c36c7,774580.9324891362,815000.0,23,usage_Other,0.0,-186.8383083850897,186.8383083850897,774746.0157623809,774559.1774539958
